"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\teovi\Desktop\red-debate-chamber\src\App.css", "PostCSS", 0, 0, 37, 0, 6, 43
"c:\Users\teovi\Desktop\red-debate-chamber\src\App.tsx", "TypeScript JSX", 0, 27, 0, 1, 4, 32
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\DelegateManager.tsx", "TypeScript JSX", 0, 103, 0, 0, 9, 112
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\DiscussionModes.tsx", "TypeScript JSX", 0, 150, 0, 1, 12, 163
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\GeneralSpeakersList.tsx", "TypeScript JSX", 0, 233, 0, 1, 23, 257
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ModeratedCaucus.tsx", "TypeScript JSX", 0, 116, 0, 0, 13, 129
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\Timer.tsx", "TypeScript JSX", 0, 157, 0, 7, 16, 180
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\UnmoderatedCaucus.tsx", "TypeScript JSX", 0, 81, 0, 0, 10, 91
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\VotingProcedure.tsx", "TypeScript JSX", 0, 203, 0, 3, 18, 224
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\eu\EUDelegateManager.tsx", "TypeScript JSX", 0, 125, 0, 3, 9, 137
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\eu\EUDiscussionModes.tsx", "TypeScript JSX", 0, 160, 0, 3, 12, 175
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\eu\EUGeneralSpeakersList.tsx", "TypeScript JSX", 0, 254, 0, 0, 23, 277
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\eu\EUModeratedCaucus.tsx", "TypeScript JSX", 0, 110, 0, 0, 11, 121
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\eu\EUTimer.tsx", "TypeScript JSX", 0, 175, 0, 5, 18, 198
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\eu\EUUnmoderatedCaucus.tsx", "TypeScript JSX", 0, 103, 0, 0, 11, 114
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 45, 0, 0, 8, 53
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 91, 0, 0, 14, 105
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\alert.tsx", "TypeScript JSX", 0, 37, 0, 0, 7, 44
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 3, 0, 0, 3, 6
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 33, 0, 0, 6, 39
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\badge.tsx", "TypeScript JSX", 0, 24, 0, 0, 6, 30
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 80, 0, 0, 11, 91
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\button.tsx", "TypeScript JSX", 0, 42, 0, 0, 6, 48
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 50, 0, 0, 5, 55
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\card.tsx", "TypeScript JSX", 0, 35, 0, 0, 9, 44
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\carousel.tsx", "TypeScript JSX", 0, 195, 0, 0, 30, 225
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\chart.tsx", "TypeScript JSX", 0, 266, 0, 2, 36, 304
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 23, 0, 0, 4, 27
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 5, 0, 0, 5, 10
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\command.tsx", "TypeScript JSX", 0, 115, 0, 0, 18, 133
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\context-menu.tsx", "TypeScript JSX", 0, 161, 0, 0, 18, 179
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 83, 0, 0, 13, 96
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\drawer.tsx", "TypeScript JSX", 0, 75, 0, 0, 13, 88
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 162, 0, 0, 18, 180
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\form.tsx", "TypeScript JSX", 0, 105, 0, 0, 25, 130
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\hover-card.tsx", "TypeScript JSX", 0, 22, 0, 0, 6, 28
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 54, 0, 0, 8, 62
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\input.tsx", "TypeScript JSX", 0, 19, 0, 0, 4, 23
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\label.tsx", "TypeScript JSX", 0, 13, 0, 0, 5, 18
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\menubar.tsx", "TypeScript JSX", 0, 189, 0, 0, 19, 208
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 109, 0, 0, 12, 121
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\pagination.tsx", "TypeScript JSX", 0, 71, 0, 0, 11, 82
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\popover.tsx", "TypeScript JSX", 0, 24, 0, 0, 6, 30
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\progress.tsx", "TypeScript JSX", 0, 20, 0, 0, 4, 24
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 32, 0, 0, 5, 37
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\resizable.tsx", "TypeScript JSX", 0, 32, 0, 0, 6, 38
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 34, 0, 0, 5, 39
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\select.tsx", "TypeScript JSX", 0, 130, 0, 0, 14, 144
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\separator.tsx", "TypeScript JSX", 0, 17, 0, 0, 4, 21
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 93, 0, 0, 15, 108
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 572, 0, 12, 54, 638
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\slider.tsx", "TypeScript JSX", 0, 20, 0, 0, 4, 24
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 23, 0, 0, 5, 28
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\switch.tsx", "TypeScript JSX", 0, 24, 0, 0, 4, 28
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\table.tsx", "TypeScript JSX", 0, 62, 0, 0, 11, 73
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 47, 0, 0, 7, 54
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 17, 0, 0, 5, 22
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\toast.tsx", "TypeScript JSX", 0, 99, 0, 0, 13, 112
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 22, 0, 0, 3, 25
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 41, 0, 0, 9, 50
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\toggle.tsx", "TypeScript JSX", 0, 32, 0, 0, 6, 38
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 22, 0, 0, 7, 29
"c:\Users\teovi\Desktop\red-debate-chamber\src\components\ui\use-toast.ts", "TypeScript", 2, 0, 0, 0, 2, 4
"c:\Users\teovi\Desktop\red-debate-chamber\src\hooks\use-mobile.tsx", "TypeScript JSX", 0, 15, 0, 0, 5, 20
"c:\Users\teovi\Desktop\red-debate-chamber\src\hooks\use-toast.ts", "TypeScript", 154, 0, 0, 2, 31, 187
"c:\Users\teovi\Desktop\red-debate-chamber\src\index.css", "PostCSS", 0, 0, 140, 7, 28, 175
"c:\Users\teovi\Desktop\red-debate-chamber\src\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 2, 7
"c:\Users\teovi\Desktop\red-debate-chamber\src\main.tsx", "TypeScript JSX", 0, 4, 0, 0, 2, 6
"c:\Users\teovi\Desktop\red-debate-chamber\src\pages\CCCPCommittee.tsx", "TypeScript JSX", 0, 71, 0, 6, 9, 86
"c:\Users\teovi\Desktop\red-debate-chamber\src\pages\CommitteeSelect.tsx", "TypeScript JSX", 0, 106, 0, 3, 10, 119
"c:\Users\teovi\Desktop\red-debate-chamber\src\pages\EUCommittee.tsx", "TypeScript JSX", 0, 110, 0, 10, 12, 132
"c:\Users\teovi\Desktop\red-debate-chamber\src\pages\Index.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\teovi\Desktop\red-debate-chamber\src\pages\NotFound.tsx", "TypeScript JSX", 0, 20, 0, 0, 5, 25
"c:\Users\teovi\Desktop\red-debate-chamber\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 161, 5803, 177, 67, 815, 7023